etape,date,depart,arrivee,distance,denivele_positif,denivele_negatif,duree,difficulte,terrain,hebergement,bivouacA,bivouacB,eau,ravitaillement,altitude,exposition,reseau,telephone
14,2025-09-21,Lescun,Etsaut,16,850,1150,6.7h,Difficile,chemin de la Mature,Auberge Etsaut,Crete de Borce - panorama vallee d'Aspe,replat avant Lucharry,Fontaine Etsaut,petite epicerie,900,variable,variable,05 59 34 88 98
15,2025-09-22,Etsaut,Gourette,18,1400,500,7.8h,Difficile,haute montagne,Station Gourette,Lac d'Anglas - vue haute montagne,vallon abrite,Fontaine Gourette,commerces station,2070,orages possibles,irregulier,05 59 05 12 17
16,2025-09-23,Gourette,Arrens-Marsous,20,800,1200,8h,Moyenne,vallees et montagnes,Gite Arrens,Lac d'Arrens - panorama Balaitous,prairies avant village,Fontaines Arrens,epicerie/boulangerie,1200,variable,bon,05 62 97 02 64
17,2025-09-24,Arrens-Marsous,Cauterets (Pont d'Espagne),18,900,950,7.2h,Difficile,sentier amenage,Refuge Wallon,Lac de Gaube - vue Vignemale,zone boisee,Eau captee PN,resto/snack,1725,orages possibles,variable,09 88 77 37 90
18,2025-09-25,Cauterets,Gavarnie,18,400,1100,7.5h,Moyenne,vallees et montagnes,Hotel Gavarnie,Plateau de Bellevue (avant Gavarnie, vue cirque),Clairiere sous Gavarnie,Fontaines Gavarnie,pleins commerces,1365,variable,bon,05 62 92 48 02
19,2025-09-26,Gavarnie,Luz-St-Sauveur,19,300,700,8h,Simple,vallees et rivieres,Hotel Luz,Col de Riou - panorama vallee,clairieres avant ville,Fontaine Luz,pleins commerces,710,variable,bon,05 62 92 81 58
20,2025-09-27,Luz-St-Sauveur,Bareges,12,600,500,5h,Simple,montagne pastorale,Hotel Bareges,Plateau du Lienz - vue Neouvielle,lisiere sous le Lienz,Fontaine Bareges,epicerie/boulangerie,1240,variable,bon,05 62 92 68 19
21,2025-09-28,Bareges,Lac de l'Oule (Refuge),18,1000,700,7.2h,Moyenne,rives lac/barrage,Refuge de l'Oule,Bords du lac - vue sur massifs,zone abritee rive est,Eau refuge,-,1820,variable,variable,+33 5 62 98 48 62
22,2025-09-29,Lac de l'Oule,St-Lary-Soulan,14,300,1200,5.2h,Simple,vallee encaissee,Multiples hebergements,Hauteurs du Pla d'Adet - panorama,clairiere avant bourg,Fontaines St-Lary,pleins commerces,2100,variable,bon,05 62 39 50 81
23,2025-09-30,St-Lary-Soulan,Refuge de Bastan,16,1100,300,7h,Moyenne,montagnes et vallees,Refuge de Bastan,Plateau du Bastanet (pres refuge Bastan, autorise PNP),Replat herbeux avant le refuge,Sources refuge,refuge,1850,variable,variable,05 62 39 68 20
24,2025-10-01,Refuge de Bastan,Refuge de Campana de Cloutou,14,600,400,6.5h,Moyenne,montagnes et vallees,Refuge Campana de Cloutou,Hauteurs du Quioules - panorama,replat avant col,Sources refuge,refuge,2200,orages possibles,irregulier,09 88 28 53 23
25,2025-10-02,Refuge de Campana de Cloutou,Chalet-Hotel de Oo,15,200,800,6.5h,Simple,vallees et rivieres,Chalet-Hotel de Oo,Lac de Gnioure - vue,prairies avant lac,Lac d'Oo,chalet-hotel,1504,variable,variable,05 61 79 21 97
26,2025-10-03,Chalet-Hotel de Oo,Refuge d'Estom,13,800,300,6h,Moyenne,montagnes et vallees,Refuge d'Estom,Lac d'Oo - vue sur cascades,replat avant montee,Sources refuge,refuge,1804,orages possibles,variable,09 88 66 41 26
27,2025-10-04,Refuge d'Estom,Cauterets,17,300,1100,7.5h,Simple,vallees et rivieres,Hotel Cauterets,Clairieres du vallon d'Estom,Replat forestier avant Cauterets,Fontaines Cauterets,pleins commerces,932,variable,bon,05 62 92 52 53
28,2025-10-05,Cauterets,Refuge des Oulettes,14,900,200,6h,Moyenne,montagnes et vallees,Refuge des Oulettes,Replat sous Oulettes (zone PN autorisee bivouac),Clairiere cote lac de Gaube,Sources refuge,refuge,2150,orages possibles,irregulier,09 88 18 41 46
29,2025-10-06,Refuge des Oulettes,Refuge Bayssellance,12,500,300,5.5h,Difficile,montagnes et vallees,Refuge Bayssellance,Sous le refuge de Bayssellance (zone PN autorisee),Replat herbeux Col des Gentianes,Sources refuge,refuge,2651,orages possibles,irregulier,09 74 77 66 52
30,2025-10-07,Refuge Bayssellance,Refuge de Pineta (Espagne),16,200,600,7h,Moyenne,montagnes et vallees,Refuge de Pineta,Plateau herbeux - vue Pyrenees ariegeoises,replat avant frontiere,Sources refuge,refuge,1240,variable,variable,+34 974 50 10 92
31,2025-10-08,Refuge de Pineta,Refuge de Goriz (Espagne),14,1200,400,6.5h,Moyenne,haute montagne,Refuge de Goriz,Cirque de Soaso - panorama glaciaire,replat sous Monte Perdido,Sources refuge,refuge,2200,orages possibles,irregulier,+34 974 34 12 01
32,2025-10-09,Refuge de Goriz,Refuge de la Rencluse,18,400,800,7.5h,Difficile,cretes frontalieres,Refuge de la Rencluse,Pla de la Besurta (proche Renclusa, autorise),Replat avant col de la Renclusa,Sources refuge,refuge,2140,orages possibles,irregulier,+34 974 344 646
33,2025-10-10,Refuge de la Rencluse,Merens-les-Vals,20,600,1400,8h,Simple,vallees ariegeoises,Gite Merens,Etang de Lers - lac de montagne,prairies avant village,Fontaine Merens,epicerie,1110,variable,variable,05 61 02 87 22
34,2025-10-11,Merens-les-Vals,Refuge des Besines,16,1300,200,7h,Moyenne,lacs d'altitude,Refuge des Besines,Etangs de Bassies - panorama lacustre,replat herbeux avant refuge,Sources refuge,refuge,1965,orages possibles,irregulier,09 88 77 35 28
35,2025-10-12,Refuge des Besines,Refuge de Rulhe,15,500,300,6.5h,Moyenne,granite et lacs,Refuge de Rulhe,Pic de Rulhe - vue sur Andorre,zone abritee sous pic,Sources refuge,refuge,2150,orages possibles,irregulier,05 61 65 65 01
36,2025-10-13,Refuge de Rulhe,Orlu,13,200,1200,4.8h,Simple,vallee sauvage,Auberge d'Orlu,Jasse de Balbonne - vue vallee,aire rive Oriege,Ruisseau Orlu,auberge,1500,variable,variable,05 61 64 31 12
37,2025-10-14,Orlu,Mijanes,19,900,1000,7.6h,Difficile,col de Pailheres,Gite Le Pailheres,Col de Pailheres - panorama Ariege,clairiere avant village,Fontaine Mijanes,epicerie saisonniere,2001,variable,variable,05 61 01 10 83
38,2025-10-15,Mijanes,Querigut,10,400,300,3.7h,Simple,plateau forestier,Gite La Foret,Plateau de Querigut - vue Corbieres,replat en lisiere,Fontaine Querigut,epicerie,1600,variable,variable,05 61 01 20 34
39,2025-10-16,Querigut,Montsegur,18,800,900,7h,Difficile,site historique,Gite Le Chateau,Chateau de Montsegur - site cathare,replat sous le chateau,Fontaine Montsegur,snack/epicerie,1207,variable,variable,05 61 01 10 27
40,2025-10-17,Montsegur,Comus,12,500,600,4.6h,Simple,plateau herbeux,Gite Le Plateau,Plateau de Sault - vue Corbieres,plateau abrite,Fontaine Comus,epicerie saisonniere,1300,variable,variable,05 61 01 14 42
41,2025-10-18,Comus,Bugarach,19,700,900,7.2h,Difficile,pic mysterieux,Gite Le Pic,Pic de Bugarach - vue panoramique,replat sous la crete,Fontaine Bugarach,-,1230,variable,variable,04 68 69 82 15
42,2025-10-19,Bugarach,St-Paul-de-Fenouillet,17,400,900,6.1h,Moyenne,gorges et vignes,Gite Les Gorges,Gorges de Galamus - canyon spectaculaire,clairieres avant gorges,Fontaine St-Paul,supermarche,600,variable,bon,04 68 59 07 57
43,2025-10-20,St-Paul-de-Fenouillet,Prats-de-Mollo,19,900,800,7.4h,Difficile,cretes catalanes,Gite Le Canigou,Crete du Canigou - sommet emblematique,replat sous crete,Fontaine Prats,epicerie,2600,variable,variable,04 68 39 70 83
44,2025-10-21,Prats-de-Mollo,Arles-sur-Tech,15,600,900,5.8h,Moyenne,vallee du Tech,Gite La Vallee,Vallee du Tech - panorama catalan,replat vers Batere,Fontaine Arles,supermarche,1500,variable,bon,04 68 39 10 09
45,2025-10-22,Arles-sur-Tech,Refuge de Batere,14,1100,300,6h,Simple,foret et plateau,Refuge de Batere,Plateau de Batere - vue Mediterranee,clairiere sous la piste,Fontaine Batere,-,1450,variable,variable,04 68 39 55 20
46,2025-10-23,Batere,Las Illas,16,500,900,6h,Moyenne,collines boisees,Gite d'etape communal - Las Illas,Col de Lli - vue sur plaine,replat avant col,Fontaine Las Illas,epicerie,750,variable,variable,07 76 09 65 81
47,2025-10-24,Las Illas,Pic Neulos,18,800,700,6.9h,Moyenne,crete finale,Gite du Pic Neulos,Pic Neulos - derniere montagne,replat sous crete,Source locale,-,1256,vent/soleil,irregulier,04 68 89 74 12
48,2025-10-25,Pic Neulos,Banyuls-sur-Mer,17,300,1200,6.1h,Moyenne,vignes et cote,Hotel Les Elmes,Tour Madeloc - vue sur Mediterranee,vignes avant mer,Fontaine Banyuls,pleins commerces,50,variable,bon,04 68 88 03 12
